x,y
0.0,1.0
0.15,1.0544049809463745
0.3,1.1065638462193195
0.44999999999999996,1.1565262351138805
0.6,1.2043403724339772
0.75,1.2500531909184343
0.9,1.293710447991577
1.05,1.335356837506792
1.2,1.3750360971118545
1.3499999999999999,1.4127911118331862
1.4999999999999998,1.4486640144523641
1.6499999999999997,1.4826962832322186
1.7999999999999996,1.5149288375420051
1.9499999999999995,1.5454021319319857
2.0999999999999996,1.5741562492181933
2.2499999999999996,1.6012309931594901
2.3999999999999995,1.6266659813430997
2.5499999999999994,1.6505007389441326
2.6999999999999993,1.6727747940927147
2.849999999999999,1.6935277756739129
2.999999999999999,1.7127995145072852
3.149999999999999,1.7306301490136158
3.299999999999999,1.7470602366889199
3.449999999999999,1.7621308729881282
3.5999999999999988,1.7758838195989282
3.7499999999999987,1.78836164459812
3.8999999999999986,1.799607877685503
4.049999999999999,1.809667184670967
4.199999999999999,1.8185855667862323
4.35,1.8264105924253855
4.5,1.8331916719595376
4.65,1.8389803909674516
4.800000000000001,1.8438309247556297
4.950000000000001,1.8478005696810185
5.100000000000001,1.8509504492182496
5.250000000000002,1.8533464954059997
5.400000000000002,1.8550608953420407
5.5500000000000025,1.8561744027347657
5.700000000000003,1.8567805115528284
5.850000000000003,1.8569948023600367
6.0000000000000036,1.8569948023600367
